地名,センター,収集地区
藍場町,東部業務課,B
秋田町,東部業務課,D
鮎喰町,西部業務課,A
安宅,東部業務課,B
飯谷町,東部業務課,C
伊賀町,東部業務課,D
一宮町,西部業務課,B
一番町,東部業務課,B
伊月町,東部業務課,D
応神町（県道39号線から西側）,西部業務課,B
応神町（県道39号線から東側）,西部業務課,D
大谷町,東部業務課,C
大原町（ただし、大神子・小神子・小神子山を除く）,東部業務課,A
大原町大神子・小神子・小神子山,東部業務課,D
大松町,東部業務課,C
大道,東部業務課,D
沖浜,東部業務課,C
沖浜町,東部業務課,C
沖浜東,東部業務課,D
籠屋町,東部業務課,D
春日,西部業務課,D
春日町宝野・若宮前,西部業務課,A
方上町,東部業務課,C
かちどき橋,東部業務課,D
勝占町,東部業務課,C
金沢,東部業務課,A
上助任町（ただし、三本松の一部を除く）,西部業務課,C
※上助任町三本松の一部,西部業務課,D
上八万町,西部業務課,B
上吉野町,西部業務課,C
加茂名町,西部業務課,A
川内町（県道39号線から西側）,西部業務課,B
川内町（県道39号線から東側）,西部業務課,D
北沖洲,東部業務課,A
北佐古一番町・二番町,西部業務課,C
北島田町（ただし、１丁目の一部を除く）,西部業務課,A
※北島田町１丁目の一部,西部業務課,D
北常三島町,西部業務課,C
北田宮（ただし、１丁目６・８番の一部を除く）,西部業務課,D
※北田宮一丁目６・８番の一部,西部業務課,C
北出来島町,東部業務課,B
北前川町,西部業務課,C
北矢三町（ただし、四丁目２～５番の一部を除く）,西部業務課,D
※北矢三町四丁目２～５番の一部,西部業務課,A
北山町,東部業務課,C
銀座,東部業務課,D
蔵本町,西部業務課,A
蔵本元町,西部業務課,A
国府町,西部業務課,B
紺屋町,東部業務課,D
雑賀町,東部業務課,A
幸町,東部業務課,B
栄町,東部業務課,D
佐古一番町～八番町（ただし、八番町６・７番の一部を除く）,西部業務課,C
※佐古八番町６・７番の一部,西部業務課,A
佐古山町,西部業務課,C
三軒屋町,東部業務課,C
渋野町,東部業務課,C
下助任町,西部業務課,C
下町,西部業務課,B
城東町,東部業務課,B
城南町,東部業務課,C
庄町,西部業務課,A
丈六町,東部業務課,C
昭和町,東部業務課,D
新内町,東部業務課,B
新蔵町,東部業務課,B
新浜町,東部業務課,A
新浜本町,東部業務課,A
新町橋,東部業務課,D
新南福島,東部業務課,B
末広,東部業務課,B
助任橋,西部業務課,C
助任本町,西部業務課,C
住吉,東部業務課,B
勢見町,東部業務課,D
鷹匠町,東部業務課,D
多家良町,東部業務課,C
中央通,東部業務課,D
津田海岸町,東部業務課,A
津田西町,東部業務課,A
津田浜之町,東部業務課,A
津田本町,東部業務課,A
津田町,東部業務課,A
出来島本町,東部業務課,B
寺島本町東,東部業務課,B
寺島本町西,東部業務課,B
寺町,東部業務課,D
問屋町,東部業務課,C
通町,東部業務課,B
徳島町,東部業務課,B
徳島本町,東部業務課,B
富田浜,東部業務課,D
富田橋（ＪＲ牟岐線から西側）,東部業務課,D
富田橋（ＪＲ牟岐線から東側）,東部業務課,C
富田町,東部業務課,D
中島田町,西部業務課,A
中昭和町,東部業務課,D
中常三島町,西部業務課,C
中洲町,東部業務課,B
中通町,東部業務課,B
中徳島町,東部業務課,B
仲之町,東部業務課,D
中前川町,西部業務課,C
中吉野町,西部業務課,C
二軒屋町,東部業務課,D
西新浜町,東部業務課,A
西新町,東部業務課,D
西須賀町,東部業務課,C
西船場町,東部業務課,D
西大工町,東部業務課,D
西二軒屋町（ただし、２丁目39番地の４を除く）,東部業務課,D
西二軒屋町２丁目39番地の４,東部業務課,C
西山手町,東部業務課,D
入田町,西部業務課,B
幟町,東部業務課,D
八多町,東部業務課,C
八万町（ただし、寺山と国道55号線から東側を除く）,東部業務課,C
八万町（国道55号線から東側）,東部業務課,D
八万町寺山,西部業務課,B
万代町,東部業務課,D
東新町,東部業務課,D
東船場町,東部業務課,D
東大工町,東部業務課,D
東出来島町,東部業務課,B
東山手町,東部業務課,D
東吉野町,西部業務課,C
眉山町,東部業務課,D
福島,東部業務課,B
不動東町,西部業務課,A
不動西町,西部業務課,A
不動北町,西部業務課,A
不動本町,西部業務課,A
南内町,東部業務課,B
南沖洲,東部業務課,A
南蔵本町（ただし、１丁目１～３番地を除く）,西部業務課,A
南蔵本町１丁目１～３番地,西部業務課,C
南佐古一番町～八番町（ただし、八番町５・６番の一部を除く）,西部業務課,C
※南佐古八番町５・６番の一部,西部業務課,A
南島田町,西部業務課,A
南庄町,西部業務課,A
南昭和町,東部業務課,D
南新町,東部業務課,D
南常三島町,西部業務課,C
南末広町,東部業務課,B
南田宮,西部業務課,D
南出来島町,東部業務課,B
南仲之町,東部業務課,D
南二軒屋町（ただし、一丁目１番１～９号を除く）,東部業務課,C
南二軒屋町一丁目１番１～９号,東部業務課,D
南前川町,西部業務課,C
南矢三町,西部業務課,D
明神町,東部業務課,D
名東町,西部業務課,A
元町,東部業務課,B
八百屋町,東部業務課,B
山城町,東部業務課,D
山城西,東部業務課,D
大和町,東部業務課,B
弓町,東部業務課,D
吉野本町,西部業務課,C
両国橋,東部業務課,D
両国本町,東部業務課,B
論田町,東部業務課,A
